Sheet,Entity,Plural Display Name,Description,Schema Name,Logical Name,Object Type Code,Is Custom Entity,Ownership Type,Display Name,Attribute Type,Custom Attribute,Type,Required Level,Additional data
Entities list,Organization,Organizations,Business that represents a customer or potential customer. The company that is billed in business transactions.,Account,account,1,False,UserOwned,,,,,,
Entities list,Note,Notes,"Note that is attached to one or more objects, including other notes.",Annotation,annotation,5,False,UserOwned,,,,,,
Entities list,Contact,Contacts,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",Contact,contact,2,False,UserOwned,,,,,,
Entities list,AFF Program,AFF Programs,,pt_affprogramcode,pt_affprogramcode,10281,True,OrganizationOwned,,,,,,
Entities list,Case Archive Request,Case Archive Requests,The archive process will be to save only the most pertinent FMCS Case information to a comma separated value (CSV) file and to copy the files attached to these archived cases into a zip folder.  The process will allow an administrative user to delete the archived records and files from Dynamics.,pt_ArchiveRequest,pt_archiverequest,10586,True,OrganizationOwned,,,,,,
Entities list,Archive Request Flow,Archive Request Flow,Base entity for process Archive Request Flow,pt_archiverequestflow,pt_archiverequestflow,10587,True,OrganizationOwned,,,,,,
Entities list,Auto Number,Auto Number,,pt_autonumber,pt_autonumber,10061,True,OrganizationOwned,,,,,,
Entities list,Azure Container Settings,Azure Container Settings,"Configures the container name for each entity, if desired",pt_azurecontainersettings,pt_azurecontainersettings,10059,True,OrganizationOwned,,,,,,
Entities list,BU Range,BU Ranges,,pt_BargainingUnitSize,pt_bargainingunitsize,10743,True,OrganizationOwned,,,,,,
Entities list,Basis for Closing,Basis for Closings,,pt_basisforclosing,pt_basisforclosing,10064,True,UserOwned,,,,,,
Entities list,BOI,BOI,,pt_boi,pt_boi,10065,True,UserOwned,,,,,,
Entities list,Budget Review Bulk Process,Budget Review Bulk Process,,pt_budgetreviewbulkprocess,pt_budgetreviewbulkprocess,10138,True,UserOwned,,,,,,
Entities list,Bulk Delete Request,Bulk Delete Requests,,pt_BulkDeleteRequest,pt_bulkdeleterequest,10588,True,UserOwned,,,,,,
Entities list,Bulk Delete Request Flow,Bulk Delete Request Flow,Base entity for process Bulk Delete Request Flow,pt_bulkdeleterequestflow,pt_bulkdeleterequestflow,10589,True,OrganizationOwned,,,,,,
Entities list,Case Activity,Case Activities,,pt_caseactivity,pt_caseactivity,10066,True,UserOwned,,,,,,
Entities list,Case Activity Metadata,Case Activity Metadata,,pt_caseactivitymetadata,pt_caseactivitymetadata,10302,True,UserOwned,,,,,,
Entities list,Case Activity Template,Case Activity Templates,,pt_CaseActivityTemplate,pt_caseactivitytemplate,10590,True,UserOwned,,,,,,
Entities list,Case Activity Template Selection,Case Activity Template Selections,,pt_CaseActivityTemplateSelection,pt_caseactivitytemplateselection,10591,True,UserOwned,,,,,,
Entities list,Case AutoNumber,Case AutoNumbers,,pt_caseautonumber,pt_caseautonumber,10067,True,UserOwned,,,,,,
Entities list,Case Mediator,Case Mediators,,pt_casemediator,pt_casemediator,10068,True,UserOwned,,,,,,
Entities list,Case Mediator Cleanup,Case Mediator Cleanups,Is used store some information and trigger flows once a case mediator is deleted.,pt_CaseMediatorCleanup,pt_casemediatorcleanup,10785,True,OrganizationOwned,,,,,,
Entities list,Case Source,Case Sources,,pt_casesource,pt_casesource,10069,True,UserOwned,,,,,,
Entities list,Case Type,Case Types,,pt_casetype,pt_casetype,10070,True,UserOwned,,,,,,
Entities list,Case Category,Case Categories,,pt_category,pt_category,10071,True,UserOwned,,,,,,
Entities list,Basis for Complaint,Basis for Complaints,,pt_complaint,pt_complaint,10072,True,UserOwned,,,,,,
Entities list,Concur Item,Concur Items,,pt_concuritem,pt_concuritem,10282,True,UserOwned,,,,,,
